314,3302205,Itaperuna,Rio de Janeiro,104 354
315,3522109,Itanhaém,São Paulo,104 351
316,1501808,Breves,Pará,104 280
317,1301902,Itacoatiara,Amazonas,104 046
318,3509007,Caieiras,São Paulo,104 044
319,4107652,Fazenda Rio Grande,Paraná,103 750
320,3528502,Mairiporã,São Paulo,103 645
321,2305506,Iguatu,Ceará,103 633
322,5211909,Jataí,Goiás,103 221
323,2928703,Santo Antônio de Jesus,Bahia,103 204
324,1503606,Itaituba,Pará,101 541
325,3300308,Barra do Piraí,Rio de Janeiro,101 139
326,2600054,Abreu e Lima,Pernambuco,100 698
327,1302504,Manacapuru,Amazonas,99 613
328,2607208,Ipojuca,Pernambuco,99 101
329,4126256,Sarandi,Paraná,98 888
330,4309308,Guaíba,Rio Grande do Sul,98 331
331,2932903,Valença,Bahia,97 873
332,3132404,Itajubá,Minas Gerais,97 782
333,2501807,Bayeux,Paraíba,97 519
334,3144805,Nova Lima,Minas Gerais,97 378
335,2101400,Balsas,Maranhão,96 951
336,2802908,Itabaiana,Sergipe,96 839
337,3557105,Votuporanga,São Paulo,96 106
338,4104303,Campo Mourão,Paraná,96 102
339,3508504,Caçapava,São Paulo,95 752
340,3147105,Pará de Minas,Minas Gerais,95 616
341,5102504,Cáceres,Mato Grosso,95 339
342,5006606,Ponta Porã,Mato Grosso do Sul,95 320
343,3522406,Itapeva,São Paulo,95 241
344,5204508,Caldas Novas,Goiás,95 183
345,5107925,Sorriso,Mato Grosso,94 941
346,3147006,Paracatu,Minas Gerais,94 539
347,3133808,Itaúna,Minas Gerais,94 455
348,3530805,Mogi Mirim,São Paulo,94 098
349,4108403,Francisco Beltrão,Paraná,93 308
350,3113404,Caratinga,Minas Gerais,93 124
351,3550605,São Roque,São Paulo,93 076
352,3555406,Ubatuba,São Paulo,92 819
353,2919553,Luís Eduardo Magalhães,Bahia,92 671
354,3503901,Arujá,São Paulo,92 453
355,3549102,São João da Boa Vista,São Paulo,92 315
356,3148103,Patrocínio,Minas Gerais,92 116
357,2806701,São Cristóvão,Sergipe,92 090
358,3139409,Manhuaçu,Minas Gerais,92 074
359,3305505,Saquarema,Rio de Janeiro,91 938
360,3504503,Avaré,São Paulo,91 792
361,3550704,São Sebastião,São Paulo,91 637
362,5217609,Planaltina,Goiás,91 345
363,3168705,Timóteo,Minas Gerais,91 268
364,3162500,São João del-Rei,Minas Gerais,90 897
365,2109908,Santa Inês,Maranhão,89 927
366,1200203,Cruzeiro do Sul,Acre,89 760
367,3527207,Lorena,São Paulo,89 532
368,4118402,Paranavaí,Paraná,89 454
369,2311306,Quixadá,Ceará,88 899
370,2101608,Barra do Corda,Maranhão,88 895
371,1709500,Gurupi,Tocantins,88 428
372,2906501,Candeias,Bahia,87 820
373,2613909,Serra Talhada,Pernambuco,87 467
374,4203204,Camboriú,Santa Catarina,87 179
375,1301209,Coari,Amazonas,86 713
376,1100049,Cacoal,Rondônia,86 416
377,3509601,Campo Limpo Paulista,São Paulo,86 407
378,1506138,Redenção,Pará,86 326
379,4215802,São Bento do Sul,Santa Catarina,86 317
380,4311403,Lajeado,Rio Grande do Sul,86 005
381,4211306,Navegantes,Santa Catarina,85 734
382,2309706,Pacatuba,Ceará,85 647
383,3170404,Unaí,Minas Gerais,85 461
384,2911709,Guanambi,Bahia,85 353
385,2606408,Gravatá,Pernambuco,85 309
386,2601102,Araripina,Pernambuco,85 301
387,2604007,Carpina,Pernambuco,85 131
388,4105508,Cianorte,Paraná,84 980
389,4118501,Pato Branco,Paraná,84 779
390,1504703,Moju,Pará,84 251
391,2108603,Pinheiro,Maranhão,84 160
392,3529302,Matão,São Paulo,84 069
393,4310207,Ijuí,Rio Grande do Sul,84 041
394,3305554,Seropédica,Rio de Janeiro,83 841
395,2910057,Dias d'Ávila,Bahia,83 705
396,4307708,Esteio,Rio Grande do Sul,83 352
397,3513405,Cruzeiro,São Paulo,82 895
398,2407104,Macaíba,Rio Grande do Norte,82 828
399,3306008,Três Rios,Rio de Janeiro,82 468
400,2311405,Quixeramobim,Ceará,82 455
401,2930501,Serrinha,Bahia,81 693
402,2301000,Aquiraz,Ceará,81 581
403,4303004,Cachoeira do Sul,Rio Grande do Sul,81 552
404,3556701,Vinhedo,São Paulo,81 516
405,3120904,Curvelo,Minas Gerais,81 085
406,3101607,Alfenas,Minas Gerais,80 973
407,3136207,João Monlevade,Minas Gerais,80 903
408,2917508,Jacobina,Bahia,80 749
409,3205101,Viana,Espírito Santo,80 735
410,2103208,Chapadinha,Maranhão,80 705
411,4127106,Telêmaco Borba,Paraná,80 588
412,3169307,Três Corações,Minas Gerais,80 561
413,4319901,Sapiranga,Rio Grande do Sul,80 514
414,2606200,Goiana,Pernambuco,80 345
415,3519709,Ibiúna,São Paulo,80 062
416,4203006,Caçador,Santa Catarina,80 017
417,3171303,Viçosa,Minas Gerais,79 910
418,2930105,Senhor do Bonfim,Bahia,79 813
419,2311801,Russas,Ceará,79 550
420,3509205,Cajamar,São Paulo,79 034
421,3527108,Lins,São Paulo,78 978
422,2208007,Picos,Piauí,78 627
423,1505064,Novo Repartimento,Pará,78 488
424,3524303,Jaboticabal,São Paulo,78 029
425,3506102,Bebedouro,São Paulo,77 612
426,4317509,Santo Ângelo,Rio Grande do Sul,77 544
427,2302800,Canindé,Ceará,77 484
428,2916401,Itapetinga,Bahia,77 408
429,3539301,Pirassununga,São Paulo,77 330
430,3306107,Valença,Rio de Janeiro,77 202
431,2313401,Tianguá,Ceará,77 111
432,2601706,Belo Jardim,Pernambuco,76 930
433,5219753,Santo Antônio do Descoberto,Goiás,76 871
434,1506708,Santana do Araguaia,Pará,75 995
435,3115300,Cataguases,Minas Gerais,75 942
436,3522604,Itapira,São Paulo,75 683
437,4204301,Concórdia,Santa Catarina,75 683
438,2707701,Rio Largo,Alagoas,75 662
439,4317103,Santana do Livramento,Rio Grande do Sul,75 647
440,2301109,Aracati,Ceará,75 392
441,2601201,Arcoverde,Pernambuco,75 295
442,2304103,Crateús,Ceará,75 241
443,1505304,Oriximiná,Pará,74 921
444,3146107,Ouro Preto,Minas Gerais,74 824
445,3512803,Cosmópolis,São Paulo,74 662
446,5205497,Cidade Ocidental,Goiás,74 370
447,2402600,Ceará-Mirim,Rio Grande do Norte,74 268
448,2309607,Pacajus,Ceará,74 145
449,2914604,Irecê,Bahia,74 050
450,4317202,Santa Rosa,Rio Grande do Sul,73 882
451,4307906,Farroupilha,Rio Grande do Sul,73 758
452,2102325,Buriticupu,Maranhão,73 595
453,2706307,Palmeira dos Índios,Alagoas,73 452
454,3501905,Amparo,São Paulo,73 145
455,2110005,Santa Luzia,Maranhão,73 105
456,2907202,Casa Nova,Bahia,73 092
457,4214805,Rio do Sul,Santa Catarina,72 931
458,1506500,Santa Izabel do Pará,Pará,72 856
459,2303501,Cascavel,Ceará,72 706
460,3124104,Esmeraldas,Minas Gerais,72 512
461,4300406,Alegrete,Rio Grande do Sul,72 493
462,3135100,Janaúba,Minas Gerais,72 374
463,4322608,Venâncio Aires,Rio Grande do Sul,72 373
464,4207502,Indaial,Santa Catarina,72 346
465,4104907,Castro,Paraná,72 125
466,5208608,Goianésia,Goiás,72 045
467,4205902,Gaspar,Santa Catarina,71 925
468,3164704,São Sebastião do Paraíso,Minas Gerais,71 915
469,2906006,Campo Formoso,Bahia,71 754
470,2104800,Grajaú,Maranhão,70 692
471,4202305,Biguaçu,Santa Catarina,70 471
472,2609907,Ouricuri,Pernambuco,70 466
473,3515103,Embu-Guaçu,São Paulo,70 402
474,2903904,Bom Jesus da Lapa,Bahia,70 151
475,2516201,Sousa,Paraíba,69 997
476,4303905,Campo Bom,Rio Grande do Sul,69 981
477,2802106,Estância,Sergipe,69 919
478,1502202,Capanema,Pará,69 828
479,2503209,Cabedelo,Paraíba,69 773
480,2605202,Escada,Pernambuco,69 701
481,3537602,Peruíbe,São Paulo,69 697
482,2305233,Horizonte,Ceará,69 688
483,3515509,Fernandópolis,São Paulo,69 680
484,5105259,Lucas do Rio Verde,Mato Grosso,69 671
485,3526803,Lençóis Paulista,São Paulo,69 533
486,4201406,Araranguá,Santa Catarina,69 493
487,5213103,Mineiros,Goiás,69 477
488,4208302,Itapema,Santa Catarina,69 323
489,2105401,Itapecuru-Mirim,Maranhão,69 233
490,3530508,Mococa,São Paulo,69 072
491,2402006,Caicó,Rio Grande do Norte,68 726
492,1501782,Breu Branco,Pará,68 597
493,1304062,Tabatinga,Amazonas,68 502
494,2305407,Icó,Ceará,68 303
495,4122404,Rolândia,Paraná,68 165
496,2610905,Pesqueira,Pernambuco,68 067
497,3135209,Januária,Minas Gerais,67 958
498,3126109,Formiga,Minas Gerais,67 956
499,2904605,Brumado,Bahia,67 468
500,2908408,Conceição do Coité,Bahia,67 394
501,1503457,Ipixuna do Pará,Pará,67 170
502,4322509,Vacaria,Rio Grande do Sul,66 916
503,3137601,Lagoa Santa,Minas Gerais,66 744
504,4303509,Camaquã,Rio Grande do Sul,66 686
505,2614501,Surubim,Pernambuco,66 192
506,1302900,Maués,Amazonas,66 159
507,4312401,Montenegro,Rio Grande do Sul,66 157
508,3506359,Bertioga,São Paulo,66 154
509,2709301,União dos Palmares,Alagoas,65 963
510,2103604,Coroatá,Maranhão,65 788
511,3555000,Tupã,São Paulo,65 615
512,3149309,Pedro Leopoldo,Minas Gerais,65 149
513,2914703,Itaberaba,Bahia,64 795
514,1501501,Benevides,Pará,64 780
515,1508001,Tomé-Açu,Pará,64 604
516,2915601,Itamaraju,Bahia,64 423
517,3524006,Itupeva,São Paulo,64 330
518,2302602,Camocim,Ceará,64 147
519,3537305,Penápolis,São Paulo,64 098
520,2706703,Penedo,Alagoas,64 005
521,2909802,Cruz das Almas,Bahia,63 923
522,2101707,Barreirinhas,Maranhão,63 891
523,5107040,Primavera do Leste,Mato Grosso,63 876
524,1505809,Portel,Pará,63 831
525,2208403,Piripiri,Piauí,63 829
526,2609402,Moreno,Pernambuco,63 792
527,2610004,Palmares,Pernambuco,63 745
528,2300200,Acaraú,Ceará,63 556
529,3505906,Batatais,São Paulo,63 438
530,1503309,Igarapé-Miri,Pará,63 367
531,3507001,Boituva,São Paulo,63 310
532,2503704,Cajazeiras,Paraíba,62 576
533,4304705,Carazinho,Rio Grande do Sul,62 413
534,2708600,São Miguel dos Campos,Alagoas,62 328
535,1508126,Ulianópolis,Pará,62 286
536,3301850,Guapimirim,Rio de Janeiro,62 225
537,4318309,São Gabriel,Rio Grande do Sul,62 187
538,1508308,Viseu,Pará,62 093
539,2314102,Viçosa do Ceará,Ceará,61 916
540,3140001,Mariana,Minas Gerais,61 830
541,3533403,Nova Odessa,São Paulo,61 716
542,3531803,Monte Mor,São Paulo,61 707
543,5101803,Barra do Garças,Mato Grosso,61 702
544,2301901,Barbalha,Ceará,61 662
545,2308708,Morada Nova,Ceará,61 590
546,2612208,Salgueiro,Pernambuco,61 561
547,4110706,Irati,Paraná,61 439
548,5206206,Cristalina,Goiás,61 385
549,1502939,Dom Eliseu,Pará,61 206
550,3519600,Ibitinga,São Paulo,61 150
551,2910701,Euclides da Cunha,Bahia,61 112
552,2601904,Bezerros,Pernambuco,60 960
553,3304300,Rio Bonito,Rio de Janeiro,60 930
554,5007901,Sidrolândia,Mato Grosso do Sul,60 792
555,3530300,Mirassol,São Paulo,60 768
556,2613008,São Bento do Una,Pernambuco,60 567
557,1503804,Jacundá,Pará,60 517
558,3127107,Frutal,Minas Gerais,60 508
559,1507607,São Miguel do Guamá,Pará,60 268
560,2307601,Limoeiro do Norte,Ceará,60 232
561,2928604,Santo Amaro,Bahia,60 190
562,2203909,Floriano,Piauí,60 111
563,3152105,Ponte Nova,Minas Gerais,60 003
564,1503903,Juruti,Pará,59 961
565,2112506,Tutóia,Maranhão,59 927
566,3524709,Jaguariúna,São Paulo,59 921
567,4318002,São Borja,Rio Grande do Sul,59 768
568,3300803,Cachoeiras de Macacu,Rio de Janeiro,59 652
569,4306106,Cruz Alta,Rio Grande do Sul,59 561
570,2602803,Buíque,Pernambuco,59 448
571,4314050,Parobé,Rio Grande do Sul,59 419
572,2506301,Guarabira,Paraíba,59 389
573,2914000,Ipirá,Bahia,59 281
574,2313302,Tauá,Ceará,59 259
575,1304203,Tefé,Amazonas,59 250
576,2400208,Assu,Rio Grande do Norte,58 743
577,3531100,Mongaguá,São Paulo,58 567
578,3546801,Santa Isabel,São Paulo,58 529
579,4128203,União da Vitória,Paraná,58 298
580,1504802,Monte Alegre,Pará,58 289
581,4207007,Içara,Santa Catarina,58 055
582,2701407,Campo Alegre,Alagoas,57 997
583,2112704,Vargem Grande,Maranhão,57 813
584,4321204,Taquara,Rio Grande do Sul,57 740
585,2702306,Coruripe,Alagoas,57 647
586,3553708,Taquaritinga,São Paulo,57 547
587,1302702,Manicoré,Amazonas,57 405
